topic	label	keywords_json
10	numbers, closed, compare, neighbors, one	"[{""word"": ""numbers"", ""score"": 0.08462419360876083}, {""word"": ""closed"", ""score"": 0.08462419360876083}, {""word"": ""compare"", ""score"": 0.08462419360876083}, {""word"": ""neighbors"", ""score"": 0.07335040718317032}, {""word"": ""one"", ""score"": 0.06675566732883453}, {""word"": ""having"", ""score"": 0.06675566732883453}, {""word"": ""express"", ""score"": 0.05844727158546448}, {""word"": ""two"", ""score"": 0.05844727158546448}, {""word"": ""receiving"", ""score"": 0.05548187717795372}, {""word"": ""which"", ""score"": 0.04888713359832764}]"
11	15, moving, days, new, breakdown	"[{""word"": ""15"", ""score"": 0.11964831501245499}, {""word"": ""moving"", ""score"": 0.11964831501245499}, {""word"": ""days"", ""score"": 0.10370855033397675}, {""word"": ""new"", ""score"": 0.10370855033397675}, {""word"": ""breakdown"", ""score"": 0.10370855033397675}, {""word"": ""requests"", ""score"": 0.09438438713550568}, {""word"": ""after"", ""score"": 0.0877687856554985}, {""word"": ""apartment"", ""score"": 0.08263733237981796}, {""word"": ""verification"", ""score"": 0.03724094107747078}, {""word"": ""consumption"", ""score"": 0.02588038332760334}]"
12	aed, 65, risen, 600, usually	"[{""word"": ""aed"", ""score"": 0.1262299120426178}, {""word"": ""65"", ""score"": 0.09150972962379456}, {""word"": ""risen"", ""score"": 0.09150972962379456}, {""word"": ""600"", ""score"": 0.09150972962379456}, {""word"": ""usually"", ""score"": 0.07931864261627197}, {""word"": ""around"", ""score"": 0.07931864261627197}, {""word"": ""has"", ""score"": 0.07218731194734573}, {""word"": ""discrepancy"", ""score"": 0.06320289522409439}, {""word"": ""which"", ""score"": 0.05286489054560661}, {""word"": ""significant"", ""score"": 0.04274537414312363}]"
13	checking, eight, seven, leaks, past	"[{""word"": ""checking"", ""score"": 0.08269567787647247}, {""word"": ""eight"", ""score"": 0.08269567787647247}, {""word"": ""seven"", ""score"": 0.08269567787647247}, {""word"": ""leaks"", ""score"": 0.07167881727218628}, {""word"": ""past"", ""score"": 0.06523436307907104}, {""word"": ""email"", ""score"": 0.06523436307907104}, {""word"": ""problem"", ""score"": 0.06066194549202919}, {""word"": ""resolve"", ""score"": 0.06066194549202919}, {""word"": ""assistance"", ""score"": 0.057115308940410614}, {""word"": ""months"", ""score"": 0.057115308940410614}]"
14	cost, expresses, dissatisfaction, dewa, high	"[{""word"": ""cost"", ""score"": 0.2567509710788727}, {""word"": ""expresses"", ""score"": 0.2567509710788727}, {""word"": ""dissatisfaction"", ""score"": 0.13412795960903168}, {""word"": ""dewa"", ""score"": 0.1265210658311844}, {""word"": ""high"", ""score"": 0.03469828888773918}, {""word"": ""bill"", ""score"": 0.022602200508117676}, {""word"": ""customer"", ""score"": 0.0007683862349949777}, {""word"": ""clarification"", ""score"": 0.0004934712196700275}, {""word"": ""consumption"", ""score"": 0.0004934712196700275}, {""word"": ""billing"", ""score"": 0.0004934712196700275}]"
15	paid, charge, issue, may, aed	"[{""word"": ""paid"", ""score"": 0.029021942988038063}, {""word"": ""charge"", ""score"": 0.024112705141305923}, {""word"": ""issue"", ""score"": 0.01987278275191784}, {""word"": ""may"", ""score"": 0.019355831667780876}, {""word"": ""aed"", ""score"": 0.01694387197494507}, {""word"": ""indicating"", ""score"": 0.01694387197494507}, {""word"": ""received"", ""score"": 0.014724661596119404}, {""word"": ""resolved"", ""score"": 0.01228337362408638}, {""word"": ""within"", ""score"": 0.01228337362408638}, {""word"": ""electric"", ""score"": 0.01228337362408638}]"
16	payment, latest, bank, plan, verify	"[{""word"": ""payment"", ""score"": 0.1011534333229065}, {""word"": ""latest"", ""score"": 0.08769474923610687}, {""word"": ""bank"", ""score"": 0.08769474923610687}, {""word"": ""plan"", ""score"": 0.08769474923610687}, {""word"": ""verify"", ""score"": 0.07601190358400345}, {""word"": ""check"", ""score"": 0.07601190358400345}, {""word"": ""expected"", ""score"": 0.06432904303073883}, {""word"": ""status"", ""score"": 0.060568008571863174}, {""word"": ""suspects"", ""score"": 0.050660986453294754}, {""word"": ""higher"", ""score"": 0.050660986453294754}]"
17	whether, shocked, empty, used, house	"[{""word"": ""whether"", ""score"": 0.13342002034187317}, {""word"": ""shocked"", ""score"": 0.13342002034187317}, {""word"": ""empty"", ""score"": 0.13342002034187317}, {""word"": ""used"", ""score"": 0.11564556509256363}, {""word"": ""house"", ""score"": 0.11564556509256363}, {""word"": ""seek"", ""score"": 0.09214901179075241}, {""word"": ""confused"", ""score"": 0.06764671951532364}, {""word"": ""electricity"", ""score"": 0.04515591636300087}, {""word"": ""clarification"", ""score"": 0.027587436139583588}, {""word"": ""charges"", ""score"": 0.026375731453299522}]"
18	warehouse, active, has, questioning, status	"[{""word"": ""warehouse"", ""score"": 0.14468295872211456}, {""word"": ""active"", ""score"": 0.12540803849697113}, {""word"": ""has"", ""score"": 0.11413294076919556}, {""word"": ""questioning"", ""score"": 0.11413294076919556}, {""word"": ""status"", ""score"": 0.09992797672748566}, {""word"": ""receiving"", ""score"": 0.09485801309347153}, {""word"": ""account"", ""score"": 0.07129649072885513}, {""word"": ""seeking"", ""score"": 0.04919121414422989}, {""word"": ""clarification"", ""score"": 0.029916292056441307}, {""word"": ""charges"", ""score"": 0.028602298349142075}]"
19	fearing, checks, solution, technician, potential	"[{""word"": ""fearing"", ""score"": 0.2941209375858307}, {""word"": ""checks"", ""score"": 0.2941209375858307}, {""word"": ""solution"", ""score"": 0.25493764877319336}, {""word"": ""technician"", ""score"": 0.23201686143875122}, {""word"": ""potential"", ""score"": 0.21575431525707245}, {""word"": ""disconnection"", ""score"": 0.21575431525707245}, {""word"": ""errors"", ""score"": 0.21575431525707245}, {""word"": ""seeking"", ""score"": 0.19943289458751678}, {""word"": ""unresolved"", ""score"": 0.14493614435195923}, {""word"": ""resolution"", ""score"": 0.1057528480887413}]"
20	submit, invoice, wants, complaint, past	"[{""word"": ""submit"", ""score"": 0.09756439179182053}, {""word"": ""invoice"", ""score"": 0.08456669002771378}, {""word"": ""wants"", ""score"": 0.08456669002771378}, {""word"": ""complaint"", ""score"": 0.07696352154016495}, {""word"": ""past"", ""score"": 0.07696352154016495}, {""word"": ""patterns"", ""score"": 0.07156898081302643}, {""word"": ""months"", ""score"": 0.06738465279340744}, {""word"": ""two"", ""score"": 0.06738465279340744}, {""word"": ""amounts"", ""score"": 0.05438695475459099}, {""word"": ""regarding"", ""score"": 0.052599724382162094}]"
21	seeks, verification, levels, increase, despite	"[{""word"": ""seeks"", ""score"": 0.04827366769313812}, {""word"": ""verification"", ""score"": 0.04333897680044174}, {""word"": ""levels"", ""score"": 0.03999967500567436}, {""word"": ""increase"", ""score"": 0.03707040101289749}, {""word"": ""despite"", ""score"": 0.03637472167611122}, {""word"": ""consumption"", ""score"": 0.0352618545293808}, {""word"": ""concerned"", ""score"": 0.03353659808635712}, {""word"": ""usage"", ""score"": 0.027695683762431145}, {""word"": ""significant"", ""score"": 0.025508366525173187}, {""word"": ""bills"", ""score"": 0.025178061798214912}]"
22	adults, household, only, neighbors, having	"[{""word"": ""adults"", ""score"": 0.1129545196890831}, {""word"": ""household"", ""score"": 0.1129545196890831}, {""word"": ""only"", ""score"": 0.1129545196890831}, {""word"": ""neighbors"", ""score"": 0.09790651500225067}, {""word"": ""having"", ""score"": 0.08910399675369263}, {""word"": ""increasing"", ""score"": 0.07801413536071777}, {""word"": ""two"", ""score"": 0.07801413536071777}, {""word"": ""which"", ""score"": 0.06525347381830215}, {""word"": ""higher"", ""score"": 0.06525347381830215}, {""word"": ""dewa"", ""score"": 0.05566142871975899}]"
23	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
24	unusually, bedroom, house, two, confused	"[{""word"": ""unusually"", ""score"": 0.1939900517463684}, {""word"": ""bedroom"", ""score"": 0.14063209295272827}, {""word"": ""house"", ""score"": 0.12189683318138123}, {""word"": ""two"", ""score"": 0.09713016450405121}, {""word"": ""confused"", ""score"": 0.07130338996648788}, {""word"": ""clarification"", ""score"": 0.057887088507413864}, {""word"": ""charges"", ""score"": 0.055332668125629425}, {""word"": ""seeks"", ""score"": 0.04980361834168434}, {""word"": ""high"", ""score"": 0.0377408042550087}, {""word"": ""frustrated"", ""score"": 0.0377408042550087}]"
25	more, charged, renovations, used, water	"[{""word"": ""more"", ""score"": 0.156436026096344}, {""word"": ""charged"", ""score"": 0.14235566556453705}, {""word"": ""renovations"", ""score"": 0.09034010022878647}, {""word"": ""used"", ""score"": 0.07830482721328735}, {""word"": ""water"", ""score"": 0.07478111982345581}, {""word"": ""expected"", ""score"": 0.06626955419778824}, {""word"": ""after"", ""score"": 0.06626955419778824}, {""word"": ""discrepancy"", ""score"": 0.062395066022872925}, {""word"": ""unhappy"", ""score"": 0.035897813737392426}, {""word"": ""resolution"", ""score"": 0.03248228877782822}]"
26	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
27	june, surge, january, significant, explanation	"[{""word"": ""june"", ""score"": 0.22062565386295319}, {""word"": ""surge"", ""score"": 0.12740890681743622}, {""word"": ""january"", ""score"": 0.12740890681743622}, {""word"": ""significant"", ""score"": 0.11878380924463272}, {""word"": ""explanation"", ""score"": 0.11043526977300644}, {""word"": ""increase"", ""score"": 0.08639143407344818}, {""word"": ""electricity"", ""score"": 0.04312146455049515}, {""word"": ""concerned"", ""score"": 0.038157667964696884}, {""word"": ""seeks"", ""score"": 0.022682812064886093}, {""word"": ""bill"", ""score"": 0.02218714728951454}]"
28	number, provide, follow, mobile, requests	"[{""word"": ""number"", ""score"": 0.20615044236183167}, {""word"": ""provide"", ""score"": 0.11904963105916977}, {""word"": ""follow"", ""score"": 0.11904963105916977}, {""word"": ""mobile"", ""score"": 0.11904963105916977}, {""word"": ""requests"", ""score"": 0.09391211718320847}, {""word"": ""account"", ""score"": 0.0586649626493454}, {""word"": ""significant"", ""score"": 0.05560961365699768}, {""word"": ""increase"", ""score"": 0.040476057678461075}, {""word"": ""verification"", ""score"": 0.037054598331451416}, {""word"": ""consumption"", ""score"": 0.025750886648893356}]"
29	april, possible, march, error, paying	"[{""word"": ""april"", ""score"": 0.12004462629556656}, {""word"": ""possible"", ""score"": 0.10405206680297852}, {""word"": ""march"", ""score"": 0.10405206680297852}, {""word"": ""error"", ""score"": 0.0946970209479332}, {""word"": ""paying"", ""score"": 0.08805950731039047}, {""word"": ""after"", ""score"": 0.08805950731039047}, {""word"": ""indicating"", ""score"": 0.08291105180978775}, {""word"": ""receiving"", ""score"": 0.07870446145534515}, {""word"": ""verification"", ""score"": 0.03736429288983345}, {""word"": ""frustrated"", ""score"": 0.03221584111452103}]"
30	aed, between, 704, 300, month	"[{""word"": ""aed"", ""score"": 0.13944193720817566}, {""word"": ""between"", ""score"": 0.10108771920204163}, {""word"": ""704"", ""score"": 0.10108771920204163}, {""word"": ""300"", ""score"": 0.10108771920204163}, {""word"": ""month"", ""score"": 0.08762063086032867}, {""word"": ""usually"", ""score"": 0.08762063086032867}, {""word"": ""400"", ""score"": 0.08762063086032867}, {""word"": ""which"", ""score"": 0.058398060500621796}, {""word"": ""amount"", ""score"": 0.04981373995542526}, {""word"": ""unhappy"", ""score"": 0.04016852006316185}]"
31	charges, bill, high, concerned, electricity	"[{""word"": ""charges"", ""score"": 0.0028819816652685404}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
32	invoice, unhappy, paying, previous, discrepancies	"[{""word"": ""invoice"", ""score"": 0.1355733722448349}, {""word"": ""unhappy"", ""score"": 0.12400303035974503}, {""word"": ""paying"", ""score"": 0.11473605781793594}, {""word"": ""previous"", ""score"": 0.08719063550233841}, {""word"": ""discrepancies"", ""score"": 0.07123894989490509}, {""word"": ""seeks"", ""score"": 0.05539146810770035}, {""word"": ""verification"", ""score"": 0.04868335276842117}, {""word"": ""despite"", ""score"": 0.044773709028959274}, {""word"": ""high"", ""score"": 0.041975237429142}, {""word"": ""billing"", ""score"": 0.03880790248513222}]"
33	raise, complaint, patterns, water, unhappy	"[{""word"": ""raise"", ""score"": 0.20310190320014954}, {""word"": ""complaint"", ""score"": 0.16021662950515747}, {""word"": ""patterns"", ""score"": 0.14898669719696045}, {""word"": ""water"", ""score"": 0.08425633609294891}, {""word"": ""unhappy"", ""score"": 0.0807051807641983}, {""word"": ""unexpected"", ""score"": 0.07591929286718369}, {""word"": ""consumption"", ""score"": 0.043931711465120316}, {""word"": ""seeks"", ""score"": 0.03615855425596237}, {""word"": ""electricity"", ""score"": 0.0345650315284729}, {""word"": ""customer"", ""score"": 0.000607829075306654}]"
34	multiple, dewa, disconnection, his, incurred	"[{""word"": ""multiple"", ""score"": 0.027929266914725304}, {""word"": ""dewa"", ""score"": 0.02613404393196106}, {""word"": ""disconnection"", ""score"": 0.025969257578253746}, {""word"": ""his"", ""score"": 0.01772414706647396}, {""word"": ""incurred"", ""score"": 0.01772414706647396}, {""word"": ""channels"", ""score"": 0.01772414706647396}, {""word"": ""accounts"", ""score"": 0.01772414706647396}, {""word"": ""success"", ""score"": 0.01772414706647396}, {""word"": ""through"", ""score"": 0.01772414706647396}, {""word"": ""meters"", ""score"": 0.01772414706647396}]"
35	meter, informed, request, suspects, associated	"[{""word"": ""meter"", ""score"": 0.13168829679489136}, {""word"": ""informed"", ""score"": 0.10942994803190231}, {""word"": ""request"", ""score"": 0.08717159181833267}, {""word"": ""suspects"", ""score"": 0.07289319485425949}, {""word"": ""associated"", ""score"": 0.06319460272789001}, {""word"": ""check"", ""score"": 0.05477570369839668}, {""word"": ""inspection"", ""score"": 0.05477570369839668}, {""word"": ""reading"", ""score"": 0.05477570369839668}, {""word"": ""issue"", ""score"": 0.051180750131607056}, {""word"": ""technician"", ""score"": 0.049850963056087494}]"
36	discounts, applied, accuracy, claiming, unhappy	"[{""word"": ""discounts"", ""score"": 0.072333425283432}, {""word"": ""applied"", ""score"": 0.072333425283432}, {""word"": ""accuracy"", ""score"": 0.06269703805446625}, {""word"": ""claiming"", ""score"": 0.06269703805446625}, {""word"": ""unhappy"", ""score"": 0.05734623596072197}, {""word"": ""actual"", ""score"": 0.0570601150393486}, {""word"": ""questioning"", ""score"": 0.0570601150393486}, {""word"": ""minimal"", ""score"": 0.05306064710021019}, {""word"": ""municipality"", ""score"": 0.05306064710021019}, {""word"": ""monthly"", ""score"": 0.047423724085092545}]"
37	suspect, consistent, past, two, seek	"[{""word"": ""suspect"", ""score"": 0.11683355271816254}, {""word"": ""consistent"", ""score"": 0.09216397255659103}, {""word"": ""past"", ""score"": 0.09216397255659103}, {""word"": ""two"", ""score"": 0.08069325983524323}, {""word"": ""seek"", ""score"": 0.08069325983524323}, {""word"": ""months"", ""score"": 0.08069325983524323}, {""word"": ""usage"", ""score"": 0.059237040579319}, {""word"": ""unexpectedly"", ""score"": 0.05757293105125427}, {""word"": ""account"", ""score"": 0.05757293105125427}, {""word"": ""issue"", ""score"": 0.047423504292964935}]"
38	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818317223340273}, {""word"": ""bill"", ""score"": 0.0028818317223340273}, {""word"": ""high"", ""score"": 0.0028818317223340273}, {""word"": ""concerned"", ""score"": 0.0028818317223340273}, {""word"": ""electricity"", ""score"": 0.0028818317223340273}, {""word"": ""seeks"", ""score"": 0.0028818317223340273}, {""word"": ""charges"", ""score"": 0.0028818317223340273}, {""word"": ""clarification"", ""score"": 0.0028818317223340273}, {""word"": ""consumption"", ""score"": 0.0028818317223340273}, {""word"": ""billing"", ""score"": 0.0028818317223340273}]"
39	portal, missing, address, notifications, email	"[{""word"": ""portal"", ""score"": 0.12074784934520721}, {""word"": ""missing"", ""score"": 0.12074784934520721}, {""word"": ""address"", ""score"": 0.10466160625219345}, {""word"": ""notifications"", ""score"": 0.09525176137685776}, {""word"": ""email"", ""score"": 0.09525176137685776}, {""word"": ""expected"", ""score"": 0.08857535570859909}, {""word"": ""due"", ""score"": 0.08339674770832062}, {""word"": ""higher"", ""score"": 0.0697556585073471}, {""word"": ""incorrect"", ""score"": 0.0697556585073471}, {""word"": ""frustrated"", ""score"": 0.03240456059575081}]"
40	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
41	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818317223340273}, {""word"": ""bill"", ""score"": 0.0028818317223340273}, {""word"": ""high"", ""score"": 0.0028818317223340273}, {""word"": ""concerned"", ""score"": 0.0028818317223340273}, {""word"": ""electricity"", ""score"": 0.0028818317223340273}, {""word"": ""seeks"", ""score"": 0.0028818317223340273}, {""word"": ""charges"", ""score"": 0.0028818317223340273}, {""word"": ""clarification"", ""score"": 0.0028818317223340273}, {""word"": ""consumption"", ""score"": 0.0028818317223340273}, {""word"": ""billing"", ""score"": 0.0028818317223340273}]"
42	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
43	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
