topic	label	keywords_json
20	may, dissatisfied, issue, technical, within	"[{""word"": ""may"", ""score"": 0.0336492583155632}, {""word"": ""dissatisfied"", ""score"": 0.02669425681233406}, {""word"": ""issue"", ""score"": 0.025921225547790527}, {""word"": ""technical"", ""score"": 0.021354101598262787}, {""word"": ""within"", ""score"": 0.021354101598262787}, {""word"": ""limited"", ""score"": 0.021354101598262787}, {""word"": ""ac"", ""score"": 0.021354101598262787}, {""word"": ""leak"", ""score"": 0.021354101598262787}, {""word"": ""resolved"", ""score"": 0.021354101598262787}, {""word"": ""10"", ""score"": 0.021354101598262787}]"
21	warehouse, active, has, questioning, confusion	"[{""word"": ""warehouse"", ""score"": 0.08728022873401642}, {""word"": ""active"", ""score"": 0.0756525993347168}, {""word"": ""has"", ""score"": 0.06885087490081787}, {""word"": ""questioning"", ""score"": 0.06885087490081787}, {""word"": ""confusion"", ""score"": 0.06885087490081787}, {""word"": ""expected"", ""score"": 0.06402496993541718}, {""word"": ""status"", ""score"": 0.06028170883655548}, {""word"": ""details"", ""score"": 0.06028170883655548}, {""word"": ""seeking"", ""score"": 0.05918160453438759}, {""word"": ""receiving"", ""score"": 0.05722324177622795}]"
22	june, surge, january, significant, explanation	"[{""word"": ""june"", ""score"": 0.22062565386295319}, {""word"": ""surge"", ""score"": 0.12740890681743622}, {""word"": ""january"", ""score"": 0.12740890681743622}, {""word"": ""significant"", ""score"": 0.11878380924463272}, {""word"": ""explanation"", ""score"": 0.11043526977300644}, {""word"": ""increase"", ""score"": 0.08639142662286758}, {""word"": ""electricity"", ""score"": 0.04312146455049515}, {""word"": ""concerned"", ""score"": 0.038157664239406586}, {""word"": ""seeks"", ""score"": 0.022682812064886093}, {""word"": ""bill"", ""score"": 0.022187145426869392}]"
23	fault, consistently, suspects, meter, bills	"[{""word"": ""fault"", ""score"": 0.21953628957271576}, {""word"": ""consistently"", ""score"": 0.21953628957271576}, {""word"": ""suspects"", ""score"": 0.12682543694972992}, {""word"": ""meter"", ""score"": 0.11468683183193207}, {""word"": ""bills"", ""score"": 0.0760243833065033}, {""word"": ""electricity"", ""score"": 0.037361931055784225}, {""word"": ""concerned"", ""score"": 0.0330854095518589}, {""word"": ""high"", ""score"": 0.029668958857655525}, {""word"": ""customer"", ""score"": 0.0006570128025487065}, {""word"": ""billing"", ""score"": 0.0004219452093821019}]"
24	aed, receiving, which, other, flats	"[{""word"": ""aed"", ""score"": 0.03115963563323021}, {""word"": ""receiving"", ""score"": 0.029576510190963745}, {""word"": ""which"", ""score"": 0.026055797934532166}, {""word"": ""other"", ""score"": 0.02258901856839657}, {""word"": ""flats"", ""score"": 0.02258901856839657}, {""word"": ""numbers"", ""score"": 0.02258901856839657}, {""word"": ""closed"", ""score"": 0.02258901856839657}, {""word"": ""compare"", ""score"": 0.02258901856839657}, {""word"": ""submit"", ""score"": 0.02258901856839657}, {""word"": ""renovations"", ""score"": 0.02258901856839657}]"
25	invoice, past, months, two, amounts	"[{""word"": ""invoice"", ""score"": 0.16790148615837097}, {""word"": ""past"", ""score"": 0.15280590951442719}, {""word"": ""months"", ""score"": 0.13378772139549255}, {""word"": ""two"", ""score"": 0.13378772139549255}, {""word"": ""amounts"", ""score"": 0.10798165202140808}, {""word"": ""unhappy"", ""score"": 0.07697221636772156}, {""word"": ""clarification"", ""score"": 0.040053170174360275}, {""word"": ""seeks"", ""score"": 0.034486062824726105}, {""word"": ""high"", ""score"": 0.02617836557328701}, {""word"": ""customer"", ""score"": 0.0005797143676318228}]"
26	dissatisfied, charges, high, concerned, electricity	"[{""word"": ""dissatisfied"", ""score"": 0.002882119035348296}, {""word"": ""charges"", ""score"": 0.0028819816652685404}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
27	more, used, charged, water, unhappy	"[{""word"": ""more"", ""score"": 0.18461671471595764}, {""word"": ""used"", ""score"": 0.18461671471595764}, {""word"": ""charged"", ""score"": 0.16801831126213074}, {""word"": ""water"", ""score"": 0.08835916966199875}, {""word"": ""unhappy"", ""score"": 0.08463508635759354}, {""word"": ""resolution"", ""score"": 0.0765824168920517}, {""word"": ""seeks"", ""score"": 0.03791928291320801}, {""word"": ""electricity"", ""score"": 0.036248162388801575}, {""word"": ""customer"", ""score"": 0.000637427088804543}, {""word"": ""billing"", ""score"": 0.000409366941312328}]"
28	claiming, accuracy, questioning, minimal, usage	"[{""word"": ""claiming"", ""score"": 0.15364545583724976}, {""word"": ""accuracy"", ""score"": 0.15364545583724976}, {""word"": ""questioning"", ""score"": 0.13983158767223358}, {""word"": ""minimal"", ""score"": 0.13003049790859222}, {""word"": ""usage"", ""score"": 0.08987470716238022}, {""word"": ""unhappy"", ""score"": 0.07043672353029251}, {""word"": ""billing"", ""score"": 0.04398103430867195}, {""word"": ""consumption"", ""score"": 0.03834209591150284}, {""word"": ""charges"", ""score"": 0.03504250571131706}, {""word"": ""electricity"", ""score"": 0.03016717918217182}]"
29	number, provide, follow, mobile, requests	"[{""word"": ""number"", ""score"": 0.20615039765834808}, {""word"": ""provide"", ""score"": 0.11904960870742798}, {""word"": ""follow"", ""score"": 0.11904960870742798}, {""word"": ""mobile"", ""score"": 0.11904960870742798}, {""word"": ""requests"", ""score"": 0.09391210228204727}, {""word"": ""account"", ""score"": 0.0586649514734745}, {""word"": ""significant"", ""score"": 0.055609602481126785}, {""word"": ""increase"", ""score"": 0.04047605022788048}, {""word"": ""verification"", ""score"": 0.03705459088087082}, {""word"": ""consumption"", ""score"": 0.025750882923603058}]"
30	confusion, billing, clarification, charges, seeks	"[{""word"": ""confusion"", ""score"": 0.28041693568229675}, {""word"": ""billing"", ""score"": 0.08819914609193802}, {""word"": ""clarification"", ""score"": 0.07350228726863861}, {""word"": ""charges"", ""score"": 0.07027392089366913}, {""word"": ""seeks"", ""score"": 0.06328600645065308}, {""word"": ""electricity"", ""score"": 0.060496967285871506}, {""word"": ""concerned"", ""score"": 0.05357235297560692}, {""word"": ""high"", ""score"": 0.04804040119051933}, {""word"": ""bill"", ""score"": 0.03129313513636589}, {""word"": ""consumption"", ""score"": 0.0006832196959294379}]"
31	700, 200, jumped, dubai, studio	"[{""word"": ""700"", ""score"": 0.16881166398525238}, {""word"": ""200"", ""score"": 0.16881166398525238}, {""word"": ""jumped"", ""score"": 0.16881166398525238}, {""word"": ""dubai"", ""score"": 0.1331668347120285}, {""word"": ""studio"", ""score"": 0.1331668347120285}, {""word"": ""aed"", ""score"": 0.11659291386604309}, {""word"": ""charges"", ""score"": 0.0003244687686674297}, {""word"": ""clarification"", ""score"": 0.00032445331453345716}, {""word"": ""consumption"", ""score"": 0.00032445331453345716}, {""word"": ""billing"", ""score"": 0.00032445331453345716}]"
32	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
33	suspect, past, two, months, seek	"[{""word"": ""suspect"", ""score"": 0.18503309786319733}, {""word"": ""past"", ""score"": 0.14596307277679443}, {""word"": ""two"", ""score"": 0.12779654562473297}, {""word"": ""months"", ""score"": 0.12779654562473297}, {""word"": ""seek"", ""score"": 0.12779654562473297}, {""word"": ""account"", ""score"": 0.09118009358644485}, {""word"": ""unhappy"", ""score"": 0.0735253095626831}, {""word"": ""clarification"", ""score"": 0.0003556306182872504}, {""word"": ""consumption"", ""score"": 0.0003556306182872504}, {""word"": ""billing"", ""score"": 0.0003556306182872504}]"
34	meter, associated, reading, inspection, informed	"[{""word"": ""meter"", ""score"": 0.12132442742586136}, {""word"": ""associated"", ""score"": 0.11633507162332535}, {""word"": ""reading"", ""score"": 0.10083670914173126}, {""word"": ""inspection"", ""score"": 0.10083670914173126}, {""word"": ""informed"", ""score"": 0.10083670914173126}, {""word"": ""request"", ""score"": 0.08034897595643997}, {""word"": ""sudden"", ""score"": 0.08034897595643997}, {""word"": ""suspects"", ""score"": 0.06720641255378723}, {""word"": ""issue"", ""score"": 0.047221168875694275}, {""word"": ""increase"", ""score"": 0.03955312445759773}]"
35	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818317223340273}, {""word"": ""bill"", ""score"": 0.0028818317223340273}, {""word"": ""high"", ""score"": 0.0028818317223340273}, {""word"": ""concerned"", ""score"": 0.0028818317223340273}, {""word"": ""electricity"", ""score"": 0.0028818317223340273}, {""word"": ""seeks"", ""score"": 0.0028818317223340273}, {""word"": ""charges"", ""score"": 0.0028818317223340273}, {""word"": ""clarification"", ""score"": 0.0028818317223340273}, {""word"": ""consumption"", ""score"": 0.0028818317223340273}, {""word"": ""billing"", ""score"": 0.0028818317223340273}]"
36	bedroom, house, unusually, two, clarification	"[{""word"": ""bedroom"", ""score"": 0.2060467153787613}, {""word"": ""house"", ""score"": 0.17859680950641632}, {""word"": ""unusually"", ""score"": 0.1423099935054779}, {""word"": ""two"", ""score"": 0.1423099935054779}, {""word"": ""clarification"", ""score"": 0.042604558169841766}, {""word"": ""charges"", ""score"": 0.040733255445957184}, {""word"": ""seeks"", ""score"": 0.03668282553553581}, {""word"": ""concerned"", ""score"": 0.031052451580762863}, {""word"": ""high"", ""score"": 0.027845928445458412}, {""word"": ""bill"", ""score"": 0.018138624727725983}]"
37	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
38	error, direct, confirming, resulting, unresolved	"[{""word"": ""error"", ""score"": 0.08412263542413712}, {""word"": ""direct"", ""score"": 0.053384929895401}, {""word"": ""confirming"", ""score"": 0.053384929895401}, {""word"": ""resulting"", ""score"": 0.053384929895401}, {""word"": ""unresolved"", ""score"": 0.05251116678118706}, {""word"": ""usual"", ""score"": 0.046272896230220795}, {""word"": ""reading"", ""score"": 0.046272896230220795}, {""word"": ""frustration"", ""score"": 0.046272896230220795}, {""word"": ""technician"", ""score"": 0.042112622410058975}, {""word"": ""causing"", ""score"": 0.042112622410058975}]"
39	broadband, emily, half, month, facing	"[{""word"": ""broadband"", ""score"": 0.0754038393497467}, {""word"": ""emily"", ""score"": 0.0754038393497467}, {""word"": ""half"", ""score"": 0.0754038393497467}, {""word"": ""month"", ""score"": 0.06535840779542923}, {""word"": ""facing"", ""score"": 0.06535840779542923}, {""word"": ""activation"", ""score"": 0.05948220565915108}, {""word"": ""potential"", ""score"": 0.05531297251582146}, {""word"": ""errors"", ""score"": 0.05531297251582146}, {""word"": ""away"", ""score"": 0.05531297251582146}, {""word"": ""expressing"", ""score"": 0.05531297251582146}]"
40	did, receive, any, prior, property	"[{""word"": ""did"", ""score"": 0.05358722060918808}, {""word"": ""receive"", ""score"": 0.05358722060918808}, {""word"": ""any"", ""score"": 0.05358722060918808}, {""word"": ""prior"", ""score"": 0.05358722060918808}, {""word"": ""property"", ""score"": 0.0464482344686985}, {""word"": ""notification"", ""score"": 0.0464482344686985}, {""word"": ""email"", ""score"": 0.04227219521999359}, {""word"": ""minimal"", ""score"": 0.03930924832820892}, {""word"": ""readings"", ""score"": 0.03701100870966911}, {""word"": ""express"", ""score"": 0.03701100870966911}]"
41	clear, notifications, communication, lack, regarding	"[{""word"": ""clear"", ""score"": 0.15491852164268494}, {""word"": ""notifications"", ""score"": 0.14099019765853882}, {""word"": ""communication"", ""score"": 0.131107896566391}, {""word"": ""lack"", ""score"": 0.10325127094984055}, {""word"": ""regarding"", ""score"": 0.09635793417692184}, {""word"": ""unexpectedly"", ""score"": 0.08807367086410522}, {""word"": ""bills"", ""score"": 0.061893053352832794}, {""word"": ""frustrated"", ""score"": 0.04796473681926727}, {""word"": ""charges"", ""score"": 0.03533285856246948}, {""word"": ""high"", ""score"": 0.02415412664413452}]"
42	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.002881842665374279}, {""word"": ""bill"", ""score"": 0.002881842665374279}, {""word"": ""high"", ""score"": 0.002881842665374279}, {""word"": ""concerned"", ""score"": 0.002881842665374279}, {""word"": ""electricity"", ""score"": 0.002881842665374279}, {""word"": ""seeks"", ""score"": 0.002881842665374279}, {""word"": ""charges"", ""score"": 0.002881842665374279}, {""word"": ""clarification"", ""score"": 0.002881842665374279}, {""word"": ""consumption"", ""score"": 0.002881842665374279}, {""word"": ""billing"", ""score"": 0.002881842665374279}]"
43	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
44	customer, bill, high, concerned, electricity	"[{""word"": ""customer"", ""score"": 0.0028818442951887846}, {""word"": ""bill"", ""score"": 0.0028818442951887846}, {""word"": ""high"", ""score"": 0.0028818442951887846}, {""word"": ""concerned"", ""score"": 0.0028818442951887846}, {""word"": ""electricity"", ""score"": 0.0028818442951887846}, {""word"": ""seeks"", ""score"": 0.0028818442951887846}, {""word"": ""charges"", ""score"": 0.0028818442951887846}, {""word"": ""clarification"", ""score"": 0.0028818442951887846}, {""word"": ""consumption"", ""score"": 0.0028818442951887846}, {""word"": ""billing"", ""score"": 0.0028818442951887846}]"
